COHORTE;PERÍODO ACADÉMICO CURSA;SEDE;CAMPUS;CARRERA;ÁREA;MODALIDAD;TIPO PROYECTOEDUCATIVO;NRO ALUMNOS
2017 - 2018;2020 - 2020;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;42
2017 - 2018;2020 - 2020;QUITO;EL GIRÓN;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;81
2017 - 2018;2020 - 2021;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;47
2017 - 2018;2020 - 2021;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;43
2017 - 2018;2020 - 2021;QUITO;EL GIRÓN;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;77
2017 - 2018;2021 - 2021;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;44
2017 - 2018;2021 - 2021;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;42
2017 - 2018;2021 - 2021;QUITO;EL GIRÓN;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;76
2017 - 2018;2021 - 2022;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;41
2017 - 2018;2021 - 2022;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;41
2017 - 2018;2021 - 2022;QUITO;EL GIRÓN;CONTABILIDAD Y AUDITORÍA;CIENCIAS ADMINISTRATIVAS Y ECONÓMICAS;PRESENCIAL;NUEVA O REDISEÑO;71
