COHORTE;PERIODO ACADEMICO CURSA;SEDE;CAMPUS;CARRERA;AREA;MODALIDAD;TIPO PROYECTOEDUCATIVO;NRO ALUMNOS
2020 - 2020;2020 - 2020;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;87
2020 - 2020;2020 - 2020;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;16
2020 - 2020;2020 - 2020;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;61
2020 - 2020;2020 - 2021;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;68
2020 - 2020;2020 - 2021;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;9
2020 - 2020;2020 - 2021;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;43
2020 - 2020;2021 - 2021;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;60
2020 - 2020;2021 - 2021;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;8
2020 - 2020;2021 - 2021;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;41
2020 - 2020;2021 - 2022;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;54
2020 - 2020;2021 - 2022;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;8
2020 - 2020;2021 - 2022;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;36
2020 - 2020;2022 - 2022;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;AJUSTE CURRICULAR / PROYECTOS DE CARRERA NUEVOS;5
