COHORTE;PERIODO ACADEMICO CURSA;SEDE;CAMPUS;CARRERA;AREA;MODALIDAD;TIPO PROYECTOEDUCATIVO;NRO ALUMNOS
2018 - 2018;2018 - 2018;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;231
2018 - 2018;2018 - 2018;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;24
2018 - 2018;2018 - 2018;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;101
2018 - 2018;2018 - 2019;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;168
2018 - 2018;2018 - 2019;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;18
2018 - 2018;2018 - 2019;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;88
2018 - 2018;2019 - 2019;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;151
2018 - 2018;2019 - 2019;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;16
2018 - 2018;2019 - 2019;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;79
2018 - 2018;2019 - 2020;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;140
2018 - 2018;2019 - 2020;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;14
2018 - 2018;2019 - 2020;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;74
2018 - 2018;2020 - 2020;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;114
2018 - 2018;2020 - 2020;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;10
2018 - 2018;2020 - 2020;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;67
2018 - 2018;2020 - 2021;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;119
2018 - 2018;2020 - 2021;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;11
2018 - 2018;2020 - 2021;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;68
2018 - 2018;2021 - 2021;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;114
2018 - 2018;2021 - 2021;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;8
2018 - 2018;2021 - 2021;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;62
2018 - 2018;2021 - 2022;GUAYAQUIL;CENTENARIO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;105
2018 - 2018;2021 - 2022;MATRIZ CUENCA;EL VECINO;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;7
2018 - 2018;2021 - 2022;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;66
2018 - 2018;2022 - 2022;QUITO;EL GIRON;CONTABILIDAD Y AUDITORIA;CIENCIAS ADMINISTRATIVAS Y ECONOMICAS;PRESENCIAL;NUEVA O REDISEÑO;3
